bgg_id,simple_mechanics,simple_category
1,Team Play; Area Control; Auction / Bidding; Dice Rolling; Card Play; Simultaneous Play,Economic / Industry; Party / Social; Modern / Political Conflicts
2,Trick Taking / Climbing,Card Games; Fantasy / Mythical
3,Area Control; Card Play; Area Movement; Variable Powers; Set Collection; Tile Placement,Abstract / Strategy; Historical Eras
4,Action Selection; Area Control; Auction / Bidding; Set Collection,Historical Eras
5,Route Building; Scoring; Card Play; Deduction / Hidden Info; Resource Management; Pattern Building; Area Movement; Stock / Speculation; Tile Placement,Economic / Industry; City / Civilization Building
6,Dice Rolling,City / Civilization Building; Pirates / Nautical
7,Pattern Building; Area Movement; Tile Placement,Abstract / Strategy; Kids / Family; City / Civilization Building
8,Map Building,City / Civilization Building; Fantasy / Mythical
9,Area Control; Tile Placement,Adventure / Exploration
10,Card Play; Route Building; Drafting; Area Movement; Programmed Movement; Turn Order; Initiative,Fantasy / Mythical; Adventure / Exploration
11,Card Play; Negotiation; Set Collection; Trading,Card Games; Economic / Industry; Party / Social
12,Auction / Bidding; Economy; Deduction / Hidden Info; Push Your Luck; Set Collection,Historical Eras; Fantasy / Mythical
13,Engine Building; Dice Rolling; Card Play; Area Movement; Deduction / Hidden Info; Resource Management; Map Building; Route Building; Race; Random / Luck; Take That; Trading; Variable Setup,Economic / Industry; Party / Social
14,Roll and Move; Set Collection; Simultaneous Play,Party / Social
15,Team Play; Card Play; Negotiation; Asymmetric Powers,Party / Social; Science Fiction / Space
16,Auction / Bidding,Economic / Industry
17,Dice Rolling; Push Your Luck,Card Games; Dice / Roll Mechanics; War / Historical Battles; Print & Play
18,Action Selection; Random / Luck; Area Movement; Player Penalty; Map Building; Programmed Movement; Race; Campaign / Scenario; Simultaneous Play,Puzzle / Logic; Miniatures / Tabletop Battles; Sports / Racing; Science Fiction / Space
19,Tile Placement; Voting,Historical Eras; Party / Social; City / Civilization Building
20,Action Selection; Real-Time,Miniatures / Tabletop Battles; Science Fiction / Space
21,,City / Civilization Building; Adventure / Exploration; Science Fiction / Space; War / Historical Battles
22,Action Selection; Dice Rolling; Event Cards; Map Building; Party / Trivia; Player Elimination; Area Movement; Role Playing; Simultaneous Play; Asymmetric Powers; Variable Setup,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles
23,Dice Rolling; Event Cards; Area Movement; Movement; Drafting; Player Elimination; Simulation; Turn Order; Asymmetric Powers; Variable Setup; Area Control,Fantasy / Mythical; Modern / Political Conflicts; War / Historical Battles
24,Dice Rolling; Area Movement; Map Building; Tile Placement; Asymmetric Powers; Voting,City / Civilization Building; Party / Social; Modern / Political Conflicts; Science Fiction / Space; War / Historical Battles
25,Dice Rolling; Area Movement,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles
26,Area Movement; Auction / Bidding; Simulation,City / Civilization Building; Economic / Industry; Historical Eras
27,Stock / Speculation; Dice Rolling,Economic / Industry; Modern / Political Conflicts; War / Historical Battles
28,Dice Rolling; Route Building; Drafting; Tile Placement; Asymmetric Powers,Card Games; Humor / Adult; Party / Social; Modern / Political Conflicts; Science Fiction / Space
29,Action Selection; Map Building,War / Historical Battles; Humor / Adult
30,Area Movement; Push Your Luck,Adventure / Exploration; Card Games; Fantasy / Mythical; War / Historical Battles
31,Dice Rolling; Area Movement,Adventure / Exploration; Fantasy / Mythical; War / Historical Battles; Miniatures / Tabletop Battles
32,Area Movement,Abstract / Strategy; Historical Eras; Kids / Family
34,Cooperative; Team Play; Role Playing; Asymmetric Powers,Adventure / Exploration; Horror / Zombies; Media / Pop Culture
36,Dice Rolling; Area Movement; Movement; Simulation,Science Fiction / Space; War / Historical Battles
37,,Fantasy / Mythical; War / Historical Battles
38,Deduction / Hidden Info,Puzzle / Logic; Trivia / Word Games
39,Area Control; Area Movement; Event Cards; Drafting; Party / Trivia; Simultaneous Choice; Sudden Death; Asymmetric Powers; Variable Setup,Party / Social; Fantasy / Mythical; Media / Pop Culture
40,Area Movement; Random / Luck; Simulation; Trading,Party / Social; City / Civilization Building; Fantasy / Mythical; Modern / Political Conflicts
41,Dice Rolling; Push Your Luck; Race; Roll and Move; Movement,Dice / Roll Mechanics
42,Area Control; Engine Building; Route Building; Commitment / Bidding; Card Play; Deduction / Hidden Info; Scoring Variant; Resource Management; Set Collection; Area Movement; Take That; Tile Placement,Abstract / Strategy; Historical Eras; City / Civilization Building
43,Resource Management; Route Building; Stock / Speculation,Economic / Industry
44,Trick Taking / Climbing,Animals / Nature; Card Games; Kids / Family; Historical Eras
45,Bluffing; Dice Rolling; Player Elimination,Party / Social; Kids / Family; Dice / Roll Mechanics; Media / Pop Culture
46,Auction / Bidding; Resource Management; Push Your Luck; Set Collection; Scoring,Historical Eras
47,Pattern Building; Resource Management; Negotiation; Set Collection; Tile Placement; Trading; Scoring,City / Civilization Building; Economic / Industry; Party / Social
48,Auction / Bidding,Historical Eras; Modern / Political Conflicts
49,Card Play; Memory / Matching,Card Games; Puzzle / Logic
50,Card Play; Turn Order; Push Your Luck; Scoring; Set Collection,Card Games; Adventure / Exploration; Educational / STEM
51,Area Movement; Map Building; Real-Time; Turn Order; Initiative; Variable Setup,Abstract / Strategy; Puzzle / Logic
52,Area Movement,Fantasy / Mythical; City / Civilization Building; War / Historical Battles
53,,Economic / Industry
54,Action Selection; Area Control; Auction / Bidding; Event Cards; Area Movement; Take That; Pattern Building; Map Building; Set Collection; Tile Placement; Scoring,Adventure / Exploration; Historical Eras; City / Civilization Building
55,Dice Rolling,Media / Pop Culture; Trivia / Word Games
57,Auction / Bidding; Stock / Speculation,Economic / Industry
58,Area Control; Area Movement; Dice Rolling; Event Cards; Map Building; Hidden Info,Party / Social; Adventure / Exploration; Fantasy / Mythical; Humor / Adult; City / Civilization Building; War / Historical Battles
59,Auction / Bidding; Stock / Speculation; Card Play,Economic / Industry; Adventure / Exploration
60,Area Control; Area Movement; Resource Drafting; Route Building; Race; Capture / Elimination; Take That; Asymmetric Powers; Variable Setup; Scoring,Historical Eras; City / Civilization Building
61,Set Collection,Abstract / Strategy; Historical Eras
62,Action Selection,Adventure / Exploration; Historical Eras; Horror / Zombies
63,Area Movement; Dice Rolling; Movement; Combat Resolution; Simulation; Turn Order; Initiative,Historical Eras; Modern / Political Conflicts; War / Historical Battles
64,Area Control; Area Movement; Dice Rolling; Card Play; Take That; Cooperative; Team Play,Card Games; Historical Eras; Modern / Political Conflicts; War / Historical Battles
66,Area Control; Auction / Bidding; Pattern Building; Map Building; Negotiation; Area Movement,Historical Eras; Modern / Political Conflicts
67,Action Selection; Area Movement,Abstract / Strategy; Historical Eras; War / Historical Battles
68,Campaign / Scenario; Dice Rolling; Area Movement,Historical Eras; War / Historical Battles
69,Area Movement; Pattern Building,Abstract / Strategy
70,Card Play; Map Building; Tile Placement,City / Civilization Building
71,Area Control; Area Movement; Card Play; Set Collection; Simulation; Tech Tree / Upgrades; Trading; Turn Order; Initiative,Historical Eras; City / Civilization Building; Economic / Industry; Party / Social
72,Card Play; Map Building; Drafting; Cooperative; Team Play; Asymmetric Powers,Card Games; Modern / Political Conflicts
73,Auction / Bidding; Drafting; Set Collection,Card Games
74,Card Play; Social / Party; Simultaneous Play,Card Games; Humor / Adult; Party / Social; Trivia / Word Games
75,Card Play,Card Games; Fantasy / Mythical; Print & Play; Puzzle / Logic
76,Area Control; Random Activation; Dice Rolling,Economic / Industry; City / Civilization Building
77,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
78,Dice Rolling; Area Movement; Hidden Info,War / Historical Battles
79,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
82,Dice Rolling; Hidden Info,War / Historical Battles
83,Hidden Info,War / Historical Battles
84,Dice Rolling; Area Movement; Hidden Info; Simulation,War / Historical Battles
85,Dice Rolling; Area Movement; Hidden Info; Simulation,Abstract / Strategy; War / Historical Battles
87,Dice Rolling; Area Movement; Hidden Info,War / Historical Battles
88,Action Selection; Area Control; Pattern Building; Area Movement; Card Play; 3D Movement; Tile Placement,Abstract / Strategy; Historical Eras
89,Dice Rolling; Event Cards; Commitment / Bidding; Card Play; Map Building,War / Historical Battles; Card Games; Dice / Roll Mechanics
90,Card Play,Card Games; Media / Pop Culture; Science Fiction / Space
91,Campaign / Scenario; Dice Rolling; Area Movement,War / Historical Battles
93,Action Selection; Area Control; Auction / Bidding; Card Play; Drafting; Turn Order; Simultaneous Play; Take That; Turn Order; Initiative,Historical Eras
94,Route Building; Drafting; Stock / Speculation,Economic / Industry
95,Area Movement; Race; Roll and Move,Animals / Nature; Kids / Family; Dice / Roll Mechanics
96,Action Selection; Dice Rolling; Area Movement; Card Play,Pirates / Nautical; War / Historical Battles
97,Area Movement; Dice Rolling,Historical Eras; Economic / Industry; War / Historical Battles
98,Area Movement; Dice Rolling; Hidden Info; Dice; Skill Check; Cooperative; Team Play,Economic / Industry; War / Historical Battles
99,Area Movement; Dice Rolling; Simulation,Modern / Political Conflicts; Science Fiction / Space; War / Historical Battles
101,Auction / Bidding,Card Games; Sports / Racing
102,Set Collection,Card Games
103,Dice Rolling; Hidden Info; Player Elimination; Roll and Move; Set Collection,Fantasy / Mythical; War / Historical Battles
104,Area Control; Set Collection; Simulation; Tile Placement,City / Civilization Building
105,Bluffing; Scoring; Card Play; Resource Management; Variable Powers; Take That,Card Games; Fantasy / Mythical
106,Card Play; Set Collection; Voting,Card Games; Party / Social
108,Action Selection; Pattern Building; Area Movement,Abstract / Strategy; Puzzle / Logic
109,Auction / Bidding,City / Civilization Building
